"Certified Utilities Net Generation by Prime Mover (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Total Net Generation,Station Service Consumption,Gross Generation,Source,Notes
"Seward, City of",Seward,Seward,0,100,0,0,100,NA,NA,eia,NA
"Sitka, City & Borough of",Blue Lake,Sitka,0,0,55672,0,55672,NA,NA,eia,NA
"Sitka, City & Borough of",Green Lake,Sitka,0,0,57966,0,57966,NA,NA,eia,NA
"Sitka, City & Borough of",Jarvis Street,Sitka,0,1820,0,0,1820,NA,NA,eia,NA
Southeast Alaska Power Agency,Tyee Lake,"Wrangell, Petersburg, Ketchikan",0,0,100440,0,100440,1056,101496,NA,NA
Takotna Community Assoc Inc,Takotna,Takotna,0,200,NA,0,200,24,224,pce,NA
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,0,758,NA,0,758,18,776,pce,NA
Tanana Power Company Inc,Tanana,Tanana,0,1155,NA,0,1155,40,1195,pce,NA
Tatitlek Village Ira Council,Tatitlek,Tatitlek,0,480,NA,0,480,48,528,pce,NA
TDX Adak Generating LLC,Adak,Adak,0,3656,NA,0,3656,NA,NA,pce,NA
TDX Corporation,Sand Point,Sand Point,0,3898,NA,0,3898,127,4025,pce,NA
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,0,474,NA,0,474,11,485,pce,NA
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,0,417,NA,0,417,3,420,pce,NA
Tuluksak Traditional,Tuluksak,Tuluksak,0,635,NA,0,635,56,691,pce,NA
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,0,955,NA,33,988,32,1020,pce,NA
Twin Hills Village Council,Twin Hills,Twin Hills,0,296,NA,0,296,22,318,pce,NA
Umnak Power Company,Nikolski,Nikolski,0,222,NA,0,222,22,244,pce,NA
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,0,3478,NA,938,4416,69,4485,pce,NA
"Unalaska, City of",Unalaska Power Module,Unalaska,0,44073,NA,0,44073,1196,45269,pce,NA
Ungusraq Power Company,Newtok,Newtok,0,503,NA,0,503,5,508,pce,NA
"White Mountain, City of",White Mountain,White Mountain,0,760,NA,0,760,28,788,pce,NA
"Wrangell, City of",Wrangell,Wrangell,0,434,0,0,434,604,1038,eia,NA
Yakutat Power Inc,Yakutat,Yakutat,0,6133,NA,0,6133,172,6305,pce,NA
